product_type,web-scraper-order,web-scraper-start-url,productname_raw,price_raw,weight_raw
butter,1698754764-1,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,Die Butter,3.95,250 g
butter,1698754764-2,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,RETOUR AUX SOURCES BIO Butter,4.19,200 g
butter,1698754764-3,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,"BIO NATURA Butter 100 g, laktosefrei",2.95,100 g
butter,1698754764-4,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,MILFINA Kochbutter,3.49,250 g
butter,1698754764-5,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,MILFINA Kräuterbutter,2.85,100 g
butter,1698754764-6,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,MILFINA Vorzugsbutter,3.45,200 g
butter,1698754764-7,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,FLORALP Vorzugsbutter,3.59,200 g
butter,1698754764-8,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,ZÜGER Bura Rapsölbutter,3.89,225 g
butter,1698754764-9,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,"ZÜGER Bura Rapsölbutter, gesalzen",3.89,225 g
butter,1698754764-10,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,LE CHEF Gesalzene Butter mit Alpensalz,2.95,100 g
butter,1698754764-11,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,MILFINA Vorzugsbutter,3.99,200 g
butter,1698754764-12,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,RAMA Universelle Margarine,2.39,225 g
butter,1698754764-13,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,BELLASAN Margarine mit Sonnenblumenöl,2.39,500 g
butter,1698754764-14,https://www.aldi-now.ch/de/milchprodukte-&-eier?ipp=36&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&quantity=1&q=butter,BELLASAN Cholesterinsenkende Halbfett-Margarine,2.29,250 g
